,text_lenght,links,lang_links,titles,sections,back_links,categories
654,415,8,2,14,0,10,4
655,475,125,0,31,1,3,12
656,774,18,1,25,2,12,11
657,29233,337,111,23,10,3,17
658,0,0,0,10,0,21,0
659,1267,142,10,11,3,353,11
660,3034,152,5,18,6,257,12
661,119,5,2,5,0,6,4
662,6299,98,13,15,11,306,20
663,69458,786,120,5,19,17,74
664,822,201,5,36,2,7,8
665,2501,394,0,19,4,318,10
666,6576,100,6,27,10,7,17
667,1162,263,10,8,0,237,12
668,1505,164,4,41,5,18,15
669,3770,88,45,12,6,13,19
670,2478,36,2,20,8,9,12
671,1338,207,5,36,5,130,3
672,1588,29,4,22,4,23,15
673,1705,57,7,12,5,30,23
674,476,713,41,21,4,695,19
675,2748,161,3,9,4,3,14
676,972,124,1,69,2,5627,7
677,805,12,2,32,0,4,4
678,276,24,2,20,1,5,9
679,1080,24,2,17,3,14,15
680,297,6,0,15,1,11,4
681,5033,101,8,38,5,51,20
682,4574,134,9,53,6,149,12
683,1693,23,4,22,5,17,16
684,1541,29,0,14,2,16,9
685,2279,186,2,29,6,9,14
686,1532,325,0,31,19,17,8
687,873,25,4,13,5,7,25
688,1536,19,1,25,4,6,19
689,640,31,13,6,4,36,4
690,351,33,8,11,1,3,7
691,151,20,4,26,0,4,7
692,4668,55,3,15,4,18,8
693,4202,105,4,22,3,28,9
694,1652,78,1,25,2,53,13
695,9701,84,25,12,11,14,13
696,2493,37,5,19,1,12,17
697,8765,73,11,36,8,88,14
698,2245,86,0,28,1,9,10
699,21642,145,2,22,9,148,9
700,0,0,0,14,0,0,0
701,269,5,2,6,0,10,4
702,2160,661,2,20,5,1,7
703,360,7,4,22,1,15,2
704,0,0,0,38,0,0,0
705,2155,33,0,11,2,12,10
706,2862,20,5,18,4,11,9
707,283,18,1,6,0,11,7
708,2360,39,0,10,4,16,20
709,4097,78,25,10,6,95,13
710,844,119,12,23,6,2,41
711,538,14,3,12,5,29,32
712,2447,44,21,8,7,37,6
713,226,24,0,4,2,42,4
714,22300,1298,62,14,7,4,30
715,412,18,2,15,1,3,9
716,4919,127,0,15,7,91,15
717,4133,10,0,18,3,4,6
718,597,29,10,33,5,19,14
719,284,694,37,7,3,680,15
720,2899,66,0,26,4,9,11
721,796,25,1,9,1,7,7
722,1999,20,1,15,3,11,12
723,3623,93,21,34,6,13,21
724,476,23,1,16,1,5,16
725,0,0,0,19,0,0,0
726,598,9,12,8,2,12,4
727,0,0,0,31,0,0,0
728,481,68,3,31,3,5,7
729,0,0,0,23,0,0,0
730,3554,237,23,28,7,342,8
731,127,33,0,8,0,10,7
